"applications","connections","day","year","isoWeek","isoYear","isoYearIsoWeek","jobApplicationCandidateIds","month","pageviews","sessions","uniquePageviews"
5,0,20,2022,38,,202238,"[34264072,34609128,34577765,34606481,34624755]",9,29,17,
3,0,21,2022,38,,202238,"[34679724,889452,31206866]",9,26,16,
5,0,22,2022,38,,202238,"[34754646,34730142,34758433,7478665,34733066]",9,36,19,
6,0,23,2022,38,,202238,"[28326670,2578683,34769756,34777245,34794539]",9,30,18,
4,0,24,2022,38,,202238,"[34823356,34838946,34829570,34823965]",9,21,13,
0,0,25,2022,38,,202238,"[]",9,7,6,
7,0,26,2022,39,,202239,"[34902198,34885650,34919839,24779201,34924949,34912862,34918006]",9,37,21,
6,0,27,2022,39,,202239,"[2578683,34942364,15386362,13085143,34967128,12419028]",9,35,18,
5,0,28,2022,39,,202239,"[5423859,2578683,35033250,18908855,35016174]",9,29,15,
9,0,29,2022,39,,202239,"[35064355,35064228,34115412,35103454,35083106,35083613,34098070,35094939,35096711]",9,53,27,
6,0,30,2022,39,,202239,"[35115762,35133539,35145826,16960408,35112832,35147491]",9,36,22,
4,0,1,2022,39,,202239,"[35175139,35176993,35171049,35184285]",10,11,6,
0,0,2,2022,39,,202239,"[]",10,4,4,
7,0,3,2022,40,,202240,"[35216528,35249999,3284973,17059575,35259000,35234231]",10,33,17,
